player_id,last_season,current_club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp,url
391056,2018,749,tommaso-di-renzone,Tommaso Di Renzone,Italy,Italy,1/27/1999,Defender,Centre-Back,Right,0,,45000,https://www.transfermarkt.co.uk/tommaso-di-renzone/profil/spieler/391056
343954,2018,749,nikola-pejovic,Nikola Pejovic,Yugoslavia (Republic),Serbia,9/22/1998,Defender,Centre-Back,Right,185,45000,135000,https://www.transfermarkt.co.uk/nikola-pejovic/profil/spieler/343954
7101,2018,8970,paolo-sammarco,Paolo Sammarco,Italy,Italy,3/17/1983,Midfield,Central Midfield,Right,181,,5850000,https://www.transfermarkt.co.uk/paolo-sammarco/profil/spieler/7101
358003,2018,749,simone-canestrelli,Simone Canestrelli,Italy,Italy,9/11/2000,Defender,Centre-Back,Right,192,900000,900000,https://www.transfermarkt.co.uk/simone-canestrelli/profil/spieler/358003
331838,2018,749,lorenzo-polvani,Lorenzo Polvani,Italy,Italy,7/26/1994,Defender,Centre-Back,Right,188,68000,158000,https://www.transfermarkt.co.uk/lorenzo-polvani/profil/spieler/331838
278690,2018,749,michal-marcjanik,Michal Marcjanik,Poland,Poland,12/15/1994,Defender,Centre-Back,Right,186,225000,450000,https://www.transfermarkt.co.uk/michal-marcjanik/profil/spieler/278690
231381,2018,749,andrea-fulignati,Andrea Fulignati,Italy,Italy,10/31/1994,Goalkeeper,Goalkeeper,Right,190,180000,450000,https://www.transfermarkt.co.uk/andrea-fulignati/profil/spieler/231381
198974,2018,6418,willyan,Willyan,Brazil,Brazil,2/17/1994,Attack,Left Winger,Right,169,540000,675000,https://www.transfermarkt.co.uk/willyan/profil/spieler/198974
586527,2018,6418,stathis-belevonis,Stathis Belevonis,Greece,Greece,2/6/1998,Midfield,Defensive Midfield,Right,173,90000,90000,https://www.transfermarkt.co.uk/stathis-belevonis/profil/spieler/586527
235639,2018,6418,luis-rocha,Luis Rocha,Portugal,Portugal,6/27/1993,Defender,Left-Back,Left,177,180000,1260000,https://www.transfermarkt.co.uk/luis-rocha/profil/spieler/235639
586564,2018,6418,dimitrios-gianniotis,Dimitrios Gianniotis,Greece,Greece,1/28/1999,Defender,Centre-Back,,193,135000,180000,https://www.transfermarkt.co.uk/dimitrios-gianniotis/profil/spieler/586564
533902,2018,6418,aristidis-kokkoris,Aristidis Kokkoris,Greece,Greece,7/16/1998,Attack,Right Winger,Left,168,180000,180000,https://www.transfermarkt.co.uk/aristidis-kokkoris/profil/spieler/533902
190168,2018,6418,arghus,Arghus,Brazil,Brazil,1/19/1988,Defender,Centre-Back,Left,189,68000,675000,https://www.transfermarkt.co.uk/arghus/profil/spieler/190168
342346,2018,6418,dimitrios-chantakias,Dimitrios Chantakias,Greece,Greece,1/4/1995,Defender,Centre-Back,Right,184,315000,405000,https://www.transfermarkt.co.uk/dimitrios-chantakias/profil/spieler/342346
305077,2018,6418,angelos-stamatopoulos,Angelos Stamatopoulos,Greece,Greece,4/23/1997,Goalkeeper,Goalkeeper,Right,187,90000,90000,https://www.transfermarkt.co.uk/angelos-stamatopoulos/profil/spieler/305077
420179,2018,749,gianluca-saro,Gianluca Saro,Italy,Italy,6/25/2000,Goalkeeper,Goalkeeper,Right,0,180000,248000,https://www.transfermarkt.co.uk/gianluca-saro/profil/spieler/420179
